seed,citer_corpusid,arxiv_id,year,title,authors,label,notes
Q-Learning,246411351,2201.12126,2022,Leveraging class abstraction for commonsense reinforcement learning via residual policy gradient methods,"Niklas Höpner, Ilaria Tiddi, H. V. Hoof",,
Q-Learning,258222331,,2023,A PDDQNLP Algorithm for Energy Efficient Computation Offloading in UAV-Assisted MEC,"Na Lin, Hailun Tang, Liang Zhao, Shaohua Wan, Ammar Hawbani, M. Guizani",,
Q-Learning,268286800,,2024,Adaptive operator selection with dueling deep Q-network for evolutionary multi-objective optimization,"Shihong Yin, Zhengrong Xiang",,
Q-Learning,210023826,2001.01898,2020,Reanalysis of Variance Reduced Temporal Difference Learning,"Tengyu Xu, Zhe Wang, Yi Zhou, Yingbin Liang",,
Q-Learning,260912346,,2023,A Self-Adaptive Double Q-Backstepping Trajectory Tracking Control Approach Based on Reinforcement Learning for Mobile Robots,"Naifeng He, Zhong Yang, Xiaoliang Fan, Jiying Wu, Yaoyu Sui, Qiuyan Zhang",,
Q-Learning,258833032,2305.12365,2023,Towards Optimal Energy Management Strategy for Hybrid Electric Vehicle with Reinforcement Learning,"Xinyang Wu, Elisabeth Wedernikow, Christof Nitsche, Marco F. Huber",,
Q-Learning,268978564,,2024,"Design and investigation of small-scale long-distance RF energy harvesting system for wireless charging using CNN, LSTM, and reinforcement learning","Hao Zhang, Yue Wang, Hyeong Kwang Benno Park, Tae Hyun Sung",,
Q-Learning,234977442,,2020,Highway Lane change under uncertainty with Deep Reinforcement Learning based motion planner,N. Sakib,,
Q-Learning,225028756,,2020,Delay-aware dynamic access control for mMTC in wireless networks using deep reinforcement learning,"Diego Pacheco-Paramo, Luis Tello-Oquendo",,
Q-Learning,9897079,,2017,Designing Learning Algorithms over the Sequence Form of an Extensive-Form Game,"Edoardo Manino, N. Gatti, Marcello Restelli",,
Long Short-Term Memory,273821673,2411.02685,2024,Geometry of naturalistic object representations in recurrent neural network models of working memory,"Xiaoxuan Lei, Takuya Ito, P. Bashivan",,
Long Short-Term Memory,283847587,,2026,Pixel-scale satellite forecasting of cyanobacteria in Florida lakes.,"M. Beal, B. Schaeffer",,
Long Short-Term Memory,248056924,,2022,Incorporating rich syntax information in Grammatical Error Correction,"Zuchao Li, Kevin Parnow, Hai Zhao",,
Long Short-Term Memory,203360948,,2019,Learning Long Temporal Sequences in Spiking Networks by Multiplexing Neural Oscillations,"Philippe Vincent-Lamarre, M. Calderini, J. Thivierge",,
Long Short-Term Memory,92987530,,2017,Diagnostic classification and symbolic guidance to understand and improve recurrent neural networks,Dieuwke Hupkes,,
Long Short-Term Memory,247973699,,2021,Learning a library of Physical Interactions for Social Robots Erklärung zur Abschlussarbeit gemäß §22 Abs. 7 und §23 Abs. 7 APB der TU Darmstadt List of,Martina Gassen,,
Long Short-Term Memory,257513368,,2022,A Novel LSTM-1DCNN-based Deep Network for Fault Diagnosis in Chemical Process,"Sha Ding, Li Zhu, Xirong Xu",,
Long Short-Term Memory,228098131,,2020,Risk Prediction of Theft Crimes in Urban Communities: An Integrated Model of LSTM and ST-GCN,"Xinge Han, Xiaofeng Hu, Huanggang Wu, Bing Shen, Jiansong Wu",,
Long Short-Term Memory,257605912,,2023,"Effects of Sensing Tactile Arrays, Shear Force, and Proprioception of Robot on Texture Recognition","Jung-Hwan Yang, Seongyong Kim, Soo-Chul Lim",,
Long Short-Term Memory,257800628,,2023,Object Detection in Junk Image Based on SSD Model,Zhihao Guan,,
Long Short-Term Memory,233686667,,2021,Improving biomedical word representation with locally linear embedding,"Di Zhao, Jian Wang, Yonghe Chu, Yijia Zhang, Zhihao Yang, Hongfei Lin",,
Long Short-Term Memory,254559827,,2022,Parameter prediction of oilfield gathering station reservoir based on feature selection and long short-term memory network,"W. Tian, Jian Qu, Bin Liu, Z. Cui, Minggang Hu",,
Long Short-Term Memory,283938730,,2025,Dynamic Thermography-Based Early Breast Cancer Detection Using Multivariate Time Series,"M. Espejel-Rivera, C. Toxqui-Quitl, Alfonso Padilla-Vivanco, R. Castro-Ortega",,
Long Short-Term Memory,280576026,,2025,Development and application of HDA-ABi-GRU-based on the interpersonal problems scale of personality disorders in acromegaly patients,"S. Tagilapalli, Lei Shi, Zhentian Wu, Canhui Tian, Yanmei Tie, Dongsheng He, Haijun Wang, Wenli Chen",,
Long Short-Term Memory,268990277,,2024,ATTnet: An explainable gated recurrent unit neural network for high frequency electricity price forecasting,"Haolin Yang, K. Schell",,
